Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
2021-06-04 20:09:15,3rd year,Normal,50,Female,21,Department,In a relationship,Yes,2,Normal,Yes,Not applicable,No,Family,Yes,Yes,Neutral,Yes,Yes,6.0
2021-07-21 02:07:05,1st year,Bad,40,Female,20,Hall-Mess,In a relationship,No,1,Bad,Not applicable,Not applicable,Not applicable,No one,Yes,No,No,Yes,No,7.0
2021-07-18 01:56:42,2nd year,Very good,90,Female,21,Department,In a relationship,No,4,Good,Not applicable,Yes,No,No one,No,Yes,Yes,No,Yes,6.0
2021-06-12 20:10:34,2nd year,Good,50,Female,20,outside,In a relationship,No,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,5.0
2021-04-26 20:26:01,4th year,Very good,90,Female,22,Outside,It's complicated,No,3,Normal,No,Not applicable,Yes,Friends,No,No,Neutral,No,No,5.0
2021-07-10 16:09:44,3rd year,Good,60,Female,21,Department,In a relationship,Yes,2,Good,Yes,Not applicable,Not applicable,Family,Yes,Maybe,No,Yes,No,7.0
2021-06-15 15:51:07,4th year,Good,70,Female,22,Home,In a relationship,No,3,Normal,No,No,Yes,Friends,No,Maybe,Yes,No,No,7.0
2021-06-04 20:11:21,2nd year,Bad,30,Female,20,Hall-Mess,In a relationship,Yes,3,Good,Yes,Not applicable,Not applicable,Not applicable,Yes,Maybe,Neutral,No,Yes,5.0
2021-06-27 20:03:48,3rd year,Bad,20,Female,21,Department,It's complicated,No,2,Normal,Yes,No,Not applicable,No one,Yes,Maybe,No,No,No,4.0
2021-06-01 20:10:09,4th year,Bad,40,Female,22,Home,Broken Up,No,3,Normal,No,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,9.0
2021-04-18 14:16:15,4th year,Good,70,Female,22,Home,It's complicated,No,3,Normal,No,Not applicable,Yes,Friends,No,No,Yes,No,No,9.0
2021-06-09 20:10:26,3rd year,Good,60,Female,21,Hall-Mess,In a relationship,Yes,2,Good,Not applicable,No,No,No one,Yes,Not applicable,No,No,Yes,6.0
2021-05-22 20:00:57,3rd year,Normal,50,Female,21,Hall-Mess,In a relationship,Yes,3,Normal,No,No,No,Family,Yes,Maybe,No,Yes,No,7.0
2021-05-08 01:46:30,4th year,Good,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,8.0
2021-06-14 20:04:11,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-07-04 20:03:24,3rd year,Good,70,Female,21,Hall-Mess,It's complicated,No,2,Good,No,No,Yes,Friends,No,Maybe,No,No,Yes,6.5
2021-06-03 19:50:02,3rd year,Very bad,10,Female,21,Department,It's complicated,No,1,Good,Yes,No,No,No one,Yes,Maybe,No,Yes,No,4.0
2021-05-25 20:05:47,3rd year,Very good,95,Female,21,outside,In a relationship,Yes,3,Good,No,Yes,Yes,Family,No,No,Yes,No,Yes,6.0
2021-05-22 20:04:38,3rd year,Good,60,Female,21,Hall-Mess,In a relationship,No,2,Good,Yes,Not applicable,Yes,Friends,No,Maybe,Neutral,No,No,6.0
2021-06-02 23:05:13,4th year,Normal,60,Female,22,Home,It's complicated,No,3,Normal,No,Not applicable,Yes,No one,Yes,Maybe,Neutral,No,No,8.0
2021-05-24 22:47:16,4th year,Good,70,Female,22,Home,It's complicated,Yes,3,Normal,No,Not applicable,Yes,Friends,Yes,No,Yes,No,No,6.0
2021-06-15 02:09:09,1st year,Bad,40,Female,20,Hall-Mess,In a relationship,No,1,Bad,Not applicable,Not applicable,Not applicable,No one,Yes,No,No,Yes,No,7.0
2021-05-22 20:09:05,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-05-13 20:31:41,4th year,Normal,70,Female,22,Outside ,It's complicated,No,3,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,5.0
2021-05-04 20:26:54,4th year,Good,80,Female,22,Outside,It's complicated,No,3,Normal,No,No,Yes,Family,No,Maybe,Neutral,Yes,No,6.0
2021-05-20 20:12:19,2nd year,Good,50,Female,20,outside,In a relationship,No,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,5.0
2021-06-03 20:43:07,4th year,Good,70,Female,22,Friends place ,It's complicated,No,3,Normal,No,No,Yes,Friends,Not applicable,Maybe,Yes,No,Yes,5.5
2021-07-01 19:40:33,3rd year,Good,60,Female,21,Hall-Mess,In a relationship,Yes,2,Good,Not applicable,No,No,No one,Yes,Not applicable,No,No,Yes,6.0
2021-06-13 20:11:15,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-06-26 01:52:01,2nd year,Normal,50,Female,21,Hall-Mess,In a relationship,No,2,Normal,No,Not applicable,No,Not applicable,Not applicable,Not applicable,No,No,Yes,6.5
2021-06-27 12:54:26,4th year,Bad,30,Female,22,Home,Single,No,3,Normal,No,No,Yes,Friends,No,Maybe,No,No,No,7.0
2021-05-23 20:16:57,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-05-03 14:17:43,4th year,Good,80,Female,22,Home,It's complicated,No,3,Normal,No,Not applicable,Yes,Friends,Yes,Maybe,Yes,No,No,9.0
2021-07-22 01:56:46,2nd year,Good,85,Female,21,Hall-Mess,In a relationship,Yes,3,Good,No,Yes,No,Friends,Yes,Yes,Neutral,No,No,5.0
2021-07-03 20:07:27,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-04-18 22:57:34,4th year,Normal,50,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7.0
2021-06-02 11:41:20,4th year,Good,70,Female,22,Home,Broken Up,No,3,Normal,No,No,Yes,Friends,Yes,Maybe,Yes,No,No,7.0
2021-06-30 20:09:19,3rd year,Good,70,Female,21,Hall-Mess,It's complicated,No,2,Good,No,No,Yes,Friends,No,Maybe,No,No,Yes,6.5
2021-05-14 12:08:24,4th year,Good,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Family,No,Maybe,Neutral,No,No,9.0
2021-06-11 20:08:38,3rd year,Bad,20,Female,21,Department,It's complicated,No,2,Normal,Yes,No,Not applicable,No one,Yes,Maybe,No,No,No,4.0
2021-06-03 20:12:30,2nd year,Good,50,Female,20,outside,In a relationship,No,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,5.0
2021-06-12 01:56:28,2nd year,Normal,45,Female,21,Department,In a relationship,No,2,Good,Yes,Not applicable,No,Friends,Yes,Maybe,Yes,No,Yes,5.5
2021-05-22 20:12:27,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-07-03 20:11:55,3rd year,Good,60,Female,21,Hall-Mess,In a relationship,Yes,2,Good,Not applicable,No,No,No one,Yes,Not applicable,No,No,Yes,6.0
2021-07-24 02:09:17,1st year,Bad,20,Female,20,Department,It's complicated,Yes,3,Bad,Yes,Not applicable,Not applicable,Family,No,No,No,No,No,6.0
2021-06-22 16:08:00,3rd year,Bad,30,Female,21,Hall-Mess,It's complicated,Yes,4,Good,Not applicable,No,Yes,Family,Yes,Maybe,Neutral,No,No,6.0
